fid,Locale,SA1 Main Code,SA1 7 Digit Code,SA2 Main Code,SA2 5 Digit Code,SA2 Name
329,newcastle_maitland,11101120933,1120933,111011209,11209,Glendale - Cardiff - Hillsborough
330,newcastle_maitland,10602111614,1111614,106021116,11116,Maitland - North
331,newcastle_maitland,11102122111,1122111,111021221,11221,West Wallsend - Barnsley - Killingworth
332,newcastle_maitland,10602111514,1111514,106021115,11115,Maitland - East
333,newcastle_maitland,11101120854,1120854,111011208,11208,Charlestown - Dudley
334,newcastle_maitland,10602111716,1111716,106021117,11117,Maitland - West
335,newcastle_maitland,11102121701,1121701,111021217,11217,Edgeworth - Cameron Park
336,newcastle_maitland,11103123121,1123121,111031231,11231,Shortland - Jesmond
337,newcastle_maitland,11102122021,1122021,111021220,11220,Wangi Wangi - Rathmines
338,newcastle_maitland,10602111806,1111806,106021118,11118,Thornton - Millers Forest
339,newcastle_maitland,10602111548,1111548,106021115,11115,Maitland - East
340,newcastle_maitland,10602111503,1111503,106021115,11115,Maitland - East
341,newcastle_maitland,11101121402,1121402,111011214,11214,Warners Bay - Boolaroo
342,newcastle_maitland,11103122406,1122406,111031224,11224,Hamilton - Broadmeadow
343,newcastle_maitland,11103122829,1122829,111031228,11228,Merewether - The Junction
344,newcastle_maitland,11101120932,1120932,111011209,11209,Glendale - Cardiff - Hillsborough
345,newcastle_maitland,11103123340,1123340,111031233,11233,Wallsend - Elermore Vale
346,newcastle_maitland,11103123109,1123109,111031231,11231,Shortland - Jesmond
347,newcastle_maitland,10602111402,1111402,106021114,11114,Maitland
348,newcastle_maitland,10602111746,1111746,106021117,11117,Maitland - West
349,newcastle_maitland,11102121917,1121917,111021219,11219,Toronto - Awaba
350,newcastle_maitland,11101120847,1120847,111011208,11208,Charlestown - Dudley
351,newcastle_maitland,11102121722,1121722,111021217,11217,Edgeworth - Cameron Park
352,newcastle_maitland,11103122403,1122403,111031224,11224,Hamilton - Broadmeadow
353,newcastle_maitland,11103122822,1122822,111031228,11228,Merewether - The Junction
354,newcastle_maitland,11101121202,1121202,111011212,11212,Swansea - Caves Beach
355,newcastle_maitland,10601110808,1110808,106011108,11108,Cessnock
356,newcastle_maitland,11101120604,1120604,111011206,11206,Belmont - Bennetts Green
357,newcastle_maitland,11101120828,1120828,111011208,11208,Charlestown - Dudley
358,newcastle_maitland,11103122430,1122430,111031224,11224,Hamilton - Broadmeadow
359,newcastle_maitland,11103123418,1123418,111031234,11234,Waratah - North Lambton
360,newcastle_maitland,11101120942,1120942,111011209,11209,Glendale - Cardiff - Hillsborough
361,newcastle_maitland,11103122603,1122603,111031226,11226,Maryland - Fletcher - Minmi
362,newcastle_maitland,10601110853,1110853,106011108,11108,Cessnock
363,newcastle_maitland,11101121324,1121324,111011213,11213,Valentine - Eleebana
364,newcastle_maitland,11103123214,1123214,111031232,11232,Stockton - Fullerton Cove
365,newcastle_maitland,11103122607,1122607,111031226,11226,Maryland - Fletcher - Minmi
366,newcastle_maitland,11102121503,1121503,111021215,11215,Bolton Point - Teralba
367,newcastle_maitland,11101121008,1121008,111011210,11210,Mount Hutton - Windale
368,newcastle_maitland,11101121417,1121417,111011214,11214,Warners Bay - Boolaroo
369,newcastle_maitland,11101121424,1121424,111011214,11214,Warners Bay - Boolaroo
370,newcastle_maitland,11101121311,1121311,111011213,11213,Valentine - Eleebana
371,newcastle_maitland,11103122709,1122709,111031227,11227,Mayfield - Warabrook
372,newcastle_maitland,10602111410,1111410,106021114,11114,Maitland
373,newcastle_maitland,10601111135,1111135,106011111,11111,Kurri Kurri - Abermain
374,newcastle_maitland,11101121313,1121313,111011213,11213,Valentine - Eleebana
375,newcastle_maitland,11101121211,1121211,111011212,11212,Swansea - Caves Beach
376,newcastle_maitland,10602111743,1111743,106021117,11117,Maitland - West
377,newcastle_maitland,10601111106,1111106,106011111,11111,Kurri Kurri - Abermain
378,newcastle_maitland,10602111529,1111529,106021115,11115,Maitland - East
